2017-11-14 17:04:04,012 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:05:52,971 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:05:52,973 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:05:52,987 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.344 seconds
2017-11-14 17:05:52,987 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.018 seconds
2017-11-14 17:07:29,496 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:07:29,499 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:07:29,646 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:07:29,669 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:07:29,758 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:07:29,760 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:07:29,760 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:07:29,804 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:07:29,805 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:07:29,807 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.310 seconds
2017-11-14 17:07:30,813 | INFO | CamelLogger.java 159 | Received Message is hi
Hello
2017-11-14 17:07:30,824 | INFO | CamelLogger.java 159 | Received Message is Im the second file
2017-11-14 17:07:34,807 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:07:34,808 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:07:34,810 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:07:34,812 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:07:34,826 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.332 seconds
2017-11-14 17:07:34,826 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.019 seconds
2017-11-14 17:11:44,674 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:11:44,677 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:11:44,824 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:11:44,838 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:11:44,921 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:11:44,924 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:11:44,924 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:11:44,969 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:11:44,969 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:11:44,971 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.297 seconds
2017-11-14 17:11:45,978 | INFO | CamelLogger.java 159 | log:?level=INFO&showBody=true&showHeaders=true
2017-11-14 17:11:45,988 | INFO | CamelLogger.java 159 | log:?level=INFO&showBody=true&showHeaders=true
2017-11-14 17:11:49,971 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:11:49,972 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:11:49,975 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:11:49,977 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:11:49,991 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.319 seconds
2017-11-14 17:11:49,991 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.020 seconds
2017-11-14 17:12:19,291 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:12:19,294 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:12:19,462 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:12:19,483 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:12:19,567 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:12:19,570 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:12:19,570 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:12:19,634 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:12:19,635 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:12:19,638 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.345 seconds
2017-11-14 17:12:20,643 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-39652-1510686738980-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file.txt, CamelFileLastModified=1510683106000, CamelFileLength=8, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2017-11-14 17:12:20,651 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-39652-1510686738980-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-11-14 17:12:24,641 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:12:24,642 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:12:24,644 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:12:24,645 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:12:24,658 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.368 seconds
2017-11-14 17:12:24,658 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.019 seconds
2017-11-14 17:32:55,155 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 17:32:55,158 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 17:32:55,331 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 17:32:55,349 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 17:32:55,467 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 17:32:55,470 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 17:32:55,471 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 17:32:55,548 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 17:32:55,548 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 17:32:55,553 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.397 seconds
2017-11-14 17:32:56,560 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-36751-1510687974817-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file.txt, CamelFileLastModified=1510683106000, CamelFileLength=8, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2017-11-14 17:32:56,567 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-36751-1510687974817-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-11-14 17:33:00,555 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 17:33:00,556 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 17:33:00,558 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 17:33:00,559 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 17:33:00,572 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.421 seconds
2017-11-14 17:33:00,572 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.019 seconds
2017-11-14 18:48:22,430 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 18:48:22,433 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 18:48:22,623 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 18:48:22,648 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 18:48:22,745 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 18:48:22,747 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 18:48:22,747 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 18:48:22,792 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 18:48:22,793 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-14 18:48:22,796 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.365 seconds
2017-11-14 18:48:23,805 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-44973-1510692502113-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file.txt, CamelFileLastModified=1510683106000, CamelFileLength=8, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2017-11-14 18:48:23,817 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-44973-1510692502113-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-11-14 18:48:27,798 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 18:48:27,799 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-14 18:48:27,801 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 18:48:27,802 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-14 18:48:27,814 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.386 seconds
2017-11-14 18:48:27,814 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.018 seconds
2017-11-14 18:49:16,394 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-14 18:49:16,397 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-14 18:49:16,564 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-14 18:49:16,579 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-14 18:49:16,675 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-14 18:49:16,678 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 18:49:16,679 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 18:49:16,729 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-14 18:49:16,729 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-14 18:49:16,747 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-14 18:49:16,749 | INFO | DefaultCamelContext.java 3693 | Route: route2 started and consuming from: file://data/input2?noop=true
2017-11-14 18:49:16,749 | INFO | DefaultCamelContext.java 2947 | Total 2 routes, of which 2 are started.
2017-11-14 18:49:16,751 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.357 seconds
2017-11-14 18:49:17,758 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-43852-1510692556064-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file.txt, CamelFileLastModified=1510683106000, CamelFileLength=8, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data/input, CamelFilePath=data/input/file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2017-11-14 18:49:17,758 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-43852-1510692556064-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input2/2file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=2file2.txt, CamelFileNameConsumed=2file2.txt, CamelFileNameOnly=2file2.txt, CamelFileParent=data/input2, CamelFilePath=data/input2/2file2.txt, CamelFileRelativePath=2file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[2file2.txt]]]
2017-11-14 18:49:17,771 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-43852-1510692556064-0-5, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input/file2.txt, CamelFileLastModified=1510683130000, CamelFileLength=18, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2017-11-14 18:49:17,771 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-elvisrocha-admix-com-br-43852-1510692556064-0-7, CamelFileAbsolute=false, CamelFileAbsolutePath=/home/work/workspaces/ESTUDOS/camel/data/input2/2file.txt, CamelFileLastModified=1510692374000, CamelFileLength=10, CamelFileName=2file.txt, CamelFileNameConsumed=2file.txt, CamelFileNameOnly=2file.txt, CamelFileParent=data/input2, CamelFilePath=data/input2/2file.txt, CamelFileRelativePath=2file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[2file.txt]]]
2017-11-14 18:49:21,752 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-14 18:49:21,752 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2017-11-14 18:49:21,755 | INFO | DefaultShutdownStrategy.java 669 | Route: route2 shutdown complete, was consuming from: file://data/input2?noop=true
2017-11-14 18:49:21,755 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-14 18:49:21,755 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2017-11-14 18:49:21,768 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.375 seconds
2017-11-14 18:49:21,768 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.015 seconds
2017-11-17 19:20:29,284 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-17 19:20:29,289 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-17 19:20:29,482 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-17 19:20:29,500 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
